,아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,가격,매매호가,전세호가,월세호가,실거래가
1,현대8단지,112A㎡,서울시 광진구 광장동 565,서울시 광진구 아차산로 522,537.0,0.0,112.39,84.92,76,3,2,349,122500.0,"15억~16억 5,000",6억~9억,"2억/300~7억 5,000/60","2억/300~7억 5,000/60"
2,현대8단지,112B,서울시 광진구 광장동 565,서울시 광진구 아차산로 522,537.0,0.0,112.39,84.95,76,3,2,94,123000.0,,"6억 5,000~8억 5,000",,
0,현대9단지,81㎡,서울시 광진구 광장동 576,서울시 광진구 아차산로69길 19,437.0,0.0,81.15,59.97,74,3,1,223,123000.0,"12억 5,000~13억","5억~7억 2,000","2억 3,000/160~6억/20","2억 3,000/160~6억/20"
1,현대9단지,108,서울시 광진구 광장동 576,서울시 광진구 아차산로69길 19,437.0,0.0,108.95,84.96,78,3,2,214,122500.0,"14억 9,000~16억","6억 8,000~8억 5,000",6억/60,6억/60
0,현대그린빌,74A㎡,서울시 광진구 광장동 396-6,서울시 광진구 천호대로 798,8.0,0.0,74.98,63.39,85,3,1,4,123000.0,,,,
1,현대그린빌,75B,서울시 광진구 광장동 396-6,서울시 광진구 천호대로 798,8.0,0.0,75.01,63.41,85,3,1,4,122500.0,,,,
0,현대리버빌,240㎡,서울시 광진구 광장동 131-1,서울시 광진구 아차산로78가길 17,38.0,0.0,240.78,223.92,93,5,3,19,122500.0,,,,
1,현대리버빌,295,서울시 광진구 광장동 131-1,서울시 광진구 아차산로78가길 17,38.0,0.0,295.42,226.75,77,5,3,19,123000.0,31억,,,
0,현대아이빌라트,182㎡,서울시 광진구 광장동 350-1,서울시 광진구 광장로7길 31,19.0,0.0,182.93,163.79,90,5,3,18,123000.0,,,,
1,현대아이빌라트,270,서울시 광진구 광장동 350-1,서울시 광진구 광장로7길 31,19.0,0.0,270.71,244.99,90,5,3,1,123000.0,,,,
0,흥화빌라트,190A㎡,서울시 광진구 광장동 188-27,서울시 광진구 구천면로 29,19.0,0.0,190.6,160.9,84,4,2,1,,,,,
1,흥화빌라트,192B㎡,서울시 광진구 광장동 188-27,서울시 광진구 구천면로 29,19.0,0.0,192.7,162.7,84,4,2,1,,,,,
2,흥화빌라트,222㎡,서울시 광진구 광장동 188-27,서울시 광진구 구천면로 29,19.0,0.0,222.5,188,84,4,2,1,123000,,,,
3,흥화빌라트,223㎡,서울시 광진구 광장동 188-27,서울시 광진구 구천면로 29,19.0,0.0,223.5,188.9,85,4,2,1,122500,,,,
4,흥화빌라트,228A㎡,서울시 광진구 광장동 188-27,서울시 광진구 구천면로 29,19.0,0.0,228.2,192.8,84,4,2,7,,20억,,,
5,흥화빌라트,229B㎡,서울시 광진구 광장동 188-27,서울시 광진구 구천면로 29,19.0,0.0,229,193.5,84,4,2,7,,18억~23억,,,
6,흥화빌라트,260,서울시 광진구 광장동 188-27,서울시 광진구 구천면로 29,19.0,0.0,260.5,221.6,85,5,3,1,123000,,,,
