,아파트명,면적,법정동주소,도로명주소,세대수,임대세대수,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,가격,매매호가,전세호가,월세호가,실거래가
2,등촌월드메르디앙,106B,서울시 강서구 등촌동 711,서울시 강서구 양천로 420,145.0,0.0,106.37,84.97,80,3,2,30,99000.0,10억~11억,,,
0,등촌주공10단지,55㎡,서울시 강서구 등촌동 702,서울시 강서구 화곡로63가길 71,566.0,0.0,55.51,37.67,68,2,1,149,97500.0,"5억 8,000~7억 2,000","2억 8,000",1억/55,1억/55
1,등촌주공10단지,80,서울시 강서구 등촌동 702,서울시 강서구 화곡로63가길 71,566.0,0.0,80.06,58.14,73,3,1,417,97500.0,"7억 6,000~10억","3억 4,000~4억 2,000","3,000/110~3억/30","3,000/110~3억/30"
0,등촌주공2단지,56A㎡,서울시 강서구 등촌동 687,서울시 강서구 강서로68길 36,505.0,0.0,56.83,41.85,74,2,1,295,97500.0,"5억 1,000~7억 2,000","2억 1,945~3억 2,000","3,000/85~1억 5,000/55","3,000/85~1억 5,000/55"
1,등촌주공2단지,56B㎡,서울시 강서구 등촌동 687,서울시 강서구 강서로68길 36,505.0,0.0,56.83,41.85,74,2,1,150,99000.0,6억~8억,"2억 2,000~3억","1억 6,000/40~2억/30","1억 6,000/40~2억/30"
2,등촌주공2단지,57D㎡,서울시 강서구 등촌동 687,서울시 강서구 강서로68길 36,505.0,0.0,57.94,41.16,71,2,1,30,107000.0,5억,3억,,
3,등촌주공2단지,58C㎡,서울시 강서구 등촌동 687,서울시 강서구 강서로68길 36,505.0,0.0,58.65,41.66,71,2,1,1,100500.0,7억,,,
4,등촌주공2단지,70,서울시 강서구 등촌동 687,서울시 강서구 강서로68길 36,505.0,0.0,70.3,49.94,71,2,1,29,97500.0,,"3억 8,000","3,000/120~2억 2,000/30","3,000/120~2억 2,000/30"
0,등촌주공3단지,53㎡,서울시 강서구 등촌동 688,서울시 강서구 강서로56나길 37,1016.0,0.0,53.61,37.67,70,2,1,178,97500.0,"6억 1,000~9억","2억 3,000~3억 3,000","2,000/90~2억/20","2,000/90~2억/20"
1,등촌주공3단지,79,서울시 강서구 등촌동 688,서울시 강서구 강서로56나길 37,1016.0,0.0,79.91,58.14,73,3,1,838,97500.0,"7억 8,000~11억","2억 9,000~4억 4,000","5,000/100~3억 5,000/30","5,000/100~3억 5,000/30"
0,등촌주공5단지,55㎡,서울시 강서구 등촌동 695,서울시 강서구 공항대로39길 74,1045.0,0.0,55.27,37.67,68,2,1,238,97500.0,"5억 5,000~7억 5,000","2억 2,000~3억","1,500/95~2억/25","1,500/95~2억/25"
1,등촌주공5단지,78,서울시 강서구 등촌동 695,서울시 강서구 공항대로39길 74,1045.0,0.0,78.76,58.14,74,3,1,807,97500.0,"6억 9,000~10억 5,000","3억 3,000~5억",1억/110~2억/100,1억/110~2억/100
0,등촌주공8단지,56,서울시 강서구 등촌동 707,서울시 강서구 공항대로43길 104,445.0,0.0,56.83,41.85,74,2,1,445,97500.0,"5억 5,000~6억 5,000","2억 3,000~3억 3,000","1,000/90~2억 2,000/20","1,000/90~2억 2,000/20"
0,등촌코오롱,88A㎡,서울시 강서구 등촌동 642,서울시 강서구 화곡로66길 90,191.0,0.0,88.52,59.99,68,2,1,45,97500.0,"6억 5,000","2억 8,350~3억 5,000","3,000/135","3,000/135"
1,등촌코오롱,88B㎡,서울시 강서구 등촌동 642,서울시 강서구 화곡로66길 90,191.0,0.0,88.46,59.95,68,3,1,34,99000.0,"7억 7,000",,,
